idData;nrOrders;nrPostMen;idOrder;idPostMan;maxLoad;currentLoad;activeOrder;personalGain;distance;goingToPostOfiice;estimatedTime;proposal;decision
1;1;11;1;2;9;0;0;1.4;11.11400555959309;0;48;0.3738;0
2;1;11;1;4;7;0;0;1.1;11.2855784348469;0;48;0.29810000000000003;1
3;1;11;1;1;10;0;0;1.3;9.699791997219997;0;48;0.3029;0
4;1;11;1;10;7;0;0;2.2;10.074432816846732;0;48;0.5324;0
5;1;11;1;3;4;0;0;1.5;10.52164641234669;0;48;0.3795;0
6;1;11;1;9;7;0;0;1.6;10.903306457388585;0;48;0.4192;0
7;1;11;1;8;7;0;0;1.7;10.52164641234669;0;48;0.4301;0
8;1;11;1;11;7;0;0;2.4;11.346624007849694;0;48;0.6528;0
9;1;11;1;7;7;0;0;1.8;11.44785609501528;0;48;0.49500000000000005;0
10;1;11;1;5;7;0;0;2;12.528219121966185;0;48;0.602;0
11;1;11;1;6;7;0;0;1.9;10.702187629565815;0;48;0.4883;0
12;2;11;2;5;7;0;0;2;20.2469331425826;0;96;0.972;0
13;1;11;2;1;10;0;0;1.3;17.41850601783641;0;96;0.5434000000000001;0
14;2;11;2;4;7;1;1;1.1;16.155959122129982;0;96;0.42680000000000007;1
15;1;11;2;10;7;0;0;2.2;17.793146837463148;0;96;0.9394;0
16;1;11;2;8;7;0;0;1.7;18.240360432963104;0;96;0.7445999999999999;0
17;2;11;2;6;7;0;0;1.9;18.42090165018223;0;96;0.8398;0
18;1;11;2;9;7;0;0;1.6;18.622020478005;0;96;0.7152000000000001;0
19;1;11;2;2;9;0;0;1.4;18.832719580209506;0;96;0.6328;0
20;2;11;2;7;7;0;0;1.8;19.166570115631693;0;96;0.8280000000000001;0
21;2;11;2;3;4;0;0;1.5;18.240360432963104;0;96;0.657;0
22;2;11;2;11;7;0;0;2.4;19.06533802846611;0;96;1.0968;0
23;2;11;3;1;10;0;0;1.3;25.70470178307381;0;36;0.8021;1
24;2;11;3;3;4;0;0;1.5;26.526556198200502;0;36;0.9555;0
25;2;11;3;9;7;0;0;1.6;26.908216243242396;0;36;1.0335999999999999;0
26;2;11;3;7;7;0;0;1.8;27.45276588086909;0;36;1.1862;0
27;2;11;3;6;7;0;0;1.9;26.70709741541963;0;36;1.2179;0
28;2;11;3;5;7;0;0;2;28.533128907819997;0;36;1.3699999999999999;0
29;2;11;3;4;7;1;2;1.1;27.47548822070071;0;36;0.7249;0
30;2;11;3;10;7;0;0;2.2;26.079342602700546;0;36;1.3772000000000002;0
31;2;11;3;11;7;0;0;2.4;27.351533793703506;0;36;1.5743999999999998;0
32;2;11;3;2;9;0;0;1.4;27.118915345446904;0;36;0.9114;0
33;2;11;3;8;7;0;0;1.7;26.526556198200502;0;36;1.0829;0
34;3;11;4;4;7;1;3;1.1;19.038037078439544;0;72;0.5027;1
35;3;11;4;11;7;0;0;2.4;15.717415984775672;0;72;0.9047999999999999;0
36;3;11;4;6;7;0;0;1.9;15.072979606491792;0;72;0.6878;0
37;3;11;4;8;7;0;0;1.7;14.892438389272668;0;72;0.6085999999999999;0
38;3;11;4;9;7;0;0;1.6;15.274098434314563;0;72;0.5872;0
39;3;11;4;7;7;0;0;1.8;15.818648071941258;0;72;0.684;0
40;3;11;4;1;10;0;0;1.3;14.070583974145974;0;72;0.43939999999999996;0
41;3;11;4;5;7;0;0;2;16.899011098892164;0;72;0.8119999999999999;0
42;3;11;4;10;7;0;0;2.2;14.44522479377271;0;72;0.7634;0
43;3;11;4;3;4;0;0;1.5;14.892438389272668;0;72;0.5369999999999999;0
44;3;11;4;2;9;0;0;1.4;15.484797536519068;0;72;0.5207999999999999;0
45;5;11;5;10;7;0;0;2.2;8.812631855695878;0;24;0.4664000000000001;0
46;5;11;5;8;7;0;0;1.7;9.259845451195837;0;24;0.3791;0
47;5;11;5;9;7;0;0;1.6;9.64150549623773;0;24;0.37120000000000003;0
48;5;11;5;5;7;0;0;2;11.26641816081533;0;24;0.542;0
49;5;11;5;2;9;0;0;1.4;9.852204598442237;0;24;0.3318;0
50;5;11;5;11;7;0;0;2.4;10.084823046698839;0;24;0.5808;0
51;5;11;5;1;10;1;1;1.3;8.797897244656284;0;24;0.2756;0
52;5;11;5;4;7;0;2;1.1;13.851601010056514;1;24;0.18590000000000004;1
53;5;11;5;6;7;0;0;1.9;9.44038666841496;0;24;0.4313;0
54;5;11;5;3;4;0;0;1.5;9.259845451195837;0;24;0.3345;0
55;5;11;5;7;7;0;0;1.8;10.186055133864425;0;24;0.441;0
56;6;11;6;4;7;0;3;1.1;5.452429076098541;1;60;0.05280000000000001;1
57;6;11;6;1;10;1;1;1.3;7.132058644031644;0;60;0.2223;0
58;6;11;6;3;4;0;0;1.5;4.22734018390453;0;60;0.15300000000000002;0
59;6;11;6;8;7;0;0;1.7;4.22734018390453;0;60;0.1734;0
60;6;11;6;6;7;0;0;1.9;4.407881401123654;0;60;0.20140000000000002;0
61;6;11;6;7;7;0;0;1.8;5.153549866573119;0;60;0.2232;0
62;6;11;6;9;7;0;0;1.6;4.6090002289464245;0;60;0.1776;0
63;6;11;6;2;9;0;0;1.4;4.81969933115093;0;60;0.1624;0
64;6;11;6;10;7;0;0;2.2;3.7801265884045714;0;60;0.20020000000000002;0
65;6;11;6;11;7;0;0;2.4;5.052317779407533;0;60;0.2904;0
66;6;11;6;5;7;0;0;2;6.233912893524025;0;60;0.3;0
67;7;11;7;10;7;0;0;2.2;14.84050320504131;0;12;0.7832;0
68;7;11;7;7;7;0;0;1.8;16.213926483209857;0;12;0.7002;0
69;7;11;7;5;7;0;0;2;17.294289510160763;0;12;0.83;0
70;7;11;7;9;7;0;0;1.6;15.669376845583162;0;12;0.6016;0
71;7;11;7;4;7;0;4;1.1;13.306139026068614;1;12;0.34430000000000005;1
72;7;11;7;8;7;0;0;1.7;15.287716800541268;0;12;0.6239;0
73;7;11;7;3;4;0;0;1.5;15.287716800541268;0;12;0.5505;0
74;7;11;7;1;10;1;1;1.3;21.39910192733505;0;12;0.6669;0
75;7;11;7;6;7;0;0;1.9;15.468258017760393;0;12;0.7049;0
76;7;11;7;2;9;0;0;1.4;15.880075947787669;0;12;0.5334;0
77;7;11;7;11;7;0;0;2.4;16.112694396044272;0;12;0.9264;0
78;8;11;8;6;7;0;0;1.9;9.960084918813212;0;36;0.45409999999999995;0
79;7;11;8;4;7;4;4;1.1;10.710128995019048;0;36;0.2827;1
80;8;11;8;8;7;0;0;1.7;9.779543701594088;0;36;0.39949999999999997;0
81;8;11;8;7;7;0;0;1.8;10.705753384262678;0;36;0.4626;0
